	NKX2-1	JAK2	SRC	GAB2	PTPN11	ESR1	CCND1	VAV1	RPTOR	EIF4E	ABL1	AURKA	PDCD1	STAT5A	NRAS	RHEB	ERBB3	PAX8	LCK	MAP2K1	STAT3	SQSTM1	MET	EGFR	RAF1	SOX2	PIK3CB	ETS1	CTLA4	CD276	TP63	FRS2	XIAP	NOTCH1	ARAF	WWTR1	YAP1	PAK1	GSK3B	BRD4	CCND3	MDM2	PLCG2	MYC	EZH2	MAP2K2	AKT2	SYK	RICTOR	GLI1	DNMT1	PIK3CA	XBP1	TRIP13	JUN	PDGFRB	KIT	BCL2	INSR	IGF1R	BRAF	AURKB	LRP6	PGR	NFE2L2	LYN	KDR	RET	GATA3	AR	CDH2	MECOM	SGK1	IRS2	AXL	MAPK1	CREB1	IRS1	NRG1	CCNE1	ERBB2	MITF	PLCG1	CTNNB1	CD274	MTOR
TCGA-86-8668-01A	0.0	-0.069245	1.75908	-0.23143	0.6295485715191569	-1.0741921	-0.16509	0.905951825439979	0.21566	0.3238845708762909	-0.63192566470333	-1.34181754645306	0.0	0.26526	0.054757	-0.777292512246211	-0.01324	-0.74419475938521	0.22433	0.66051	1.47231802111293	1.577	-0.45211	6.95422	0.463715	0.111844052695638	-0.015728353560019	-0.75932	0.0	-0.388559643366748	0.0	-0.191485912322949	0.467532421658097	-0.279120518602073	0.390742	0.11463	0.88992	-1.10766135319489	-0.6911776086775909	-0.51062	-0.312909014325203	0.504079606525123	0.282150787215779	-0.38937	0.0	0.104077435467726	1.0435821463534876	-0.41983	0.1584229999999999	-0.150707387307601	-0.415593765138397	-0.22581	-0.23105	-0.889470128902438	0.32862	0.480253660320103	0.53861	-0.094143	0.445805528322196	-0.886745147806697	-0.349764	-1.00993064891424	0.0524734131241001	-0.40896	0.0	0.200863560722979	1.0272	0.0	-0.23576	-0.56224	0.50107	1.2959754361492	0.326671920740804	-0.536699957227766	0.0	0.047868	0.417571999602386	-0.060302	-0.29693	-0.59691	2.00416	0.109774082332953	0.548745770527727	-0.04391676833152	0.046299	0.79497
TCGA-86-8669-01A	0.0	-0.17565	2.36105	0.38901	-0.118288152945766	-1.5313	0.1602	0.633910521248128	-0.024579	-0.258779651770418	0.0570494136925299	-0.876917491079387	0.0	-0.14342	-0.10704	0.116782827871279	0.63998	0.461980386991783	0.71791	-0.14055	1.614932173157631	0.95553	-0.26685	2.333329	0.397397	0.669611142124238	0.237466172126552	-0.67909	0.0	-0.632804341156765	0.0	-0.325999583648646	0.324587456760739	-0.1505186452296966	0.54112	-0.53596	-0.079057	0.51644977850558	0.289162238908884	-0.80991	-0.0202826371539698	0.577477105680686	0.517398845067718	-0.27004	0.0	0.106293932721139	0.6764819902162773	0.16713	0.125205	-0.0281568437353588	-0.346203532480423	-0.23074	0.011084	-0.658629458626406	-0.016173	-0.531303768127728	2.0943	-0.15324	0.588682877630719	-0.469259264391893	1.52998	-0.344902864756336	-0.0661100343437102	-0.44277	0.0	1.84510413894129	0.48879	0.0	-0.18675	0.1183	-0.069671	2.00253978654622	0.301489912918356	0.577663144051115	0.0	-0.284	-0.1523178589984231	-0.40652	-0.30342	-0.36449	2.84	-0.0382675206429842	0.266283282733729	1.25370110249516	0.029047	0.244985
TCGA-86-8671-01A	0.0	0.17577	2.75461	0.29535	0.6687420723088471	-1.5983299999999998	-0.020562	1.74230224060297	-0.3462	-0.332871351452109	0.136657909617429	-1.16466522328708	0.0	0.68095	-0.26555	-1.62299498794657	0.233023	-0.136235985482921	1.1308	0.7507	1.574446344034067	0.26014	1.02147	3.44064	0.3313	0.281200041576968	-0.239840227482567	-0.73033	0.0	-0.0344998052322859	0.0	0.0038886641010438	0.399275187467168	0.5920256647389159	0.0686999999999999	-0.15053	0.84083	-0.273916223236063	-0.083169124732377	-0.46429	0.161355653783106	0.380495366923885	0.141943939574347	0.44594	0.0	0.0822556006268556	3.126286798200665	0.59953	0.4130435	-0.18164006624554	0.0532999316600458	-0.25322	-0.69086	-0.686312232560546	0.19194	0.809381024630223	0.94482	0.31864	-0.307162809803676	-0.82832871106506	-0.147609	-0.901649237587798	0.012653652376345	-0.37608	0.0	0.647133192001459	-0.17119	0.0	-0.37581	-0.74421	-0.22511	0.457906260020809	0.718874960633578	-0.290072723690978	0.0	0.46367	1.654246110400773	-0.019735	-0.19517	-0.64223	0.30902	0.802759331616983	0.690761442154342	-0.176920225152145	0.1728	0.07178
TCGA-86-8673-01A	0.0	-0.25774	-0.27995	-0.16653	-0.592851843613996	-1.17836	0.1703	-1.50882328988047	-0.11451	0.1624979151246069	1.184856499733747	-0.49475896605959	0.0	-1.3041	0.078583	0.118607380722349	0.02683	-0.610672671588562	0.37574	-0.028127	-0.590820444226266	-0.22208	1.03912	1.428724	0.39681	0.37571716658717	0.0662297467540804	-0.40531	0.0	0.144146291580515	0.0	0.358934940542863	-0.0881359623281716	0.47236272096383	0.3342	0.72561	0.7528	-0.877686309339421	-1.3929640376501018	-0.40093	0.0266930772922401	-0.15503329881475	0.308431979828046	-0.25089	0.0	0.316397796752403	2.097415944064231	0.52675	1.43247	0.0581118725889618	-0.0871251412692619	-0.25101	-0.20951	-0.0934169836444561	-0.36947	-0.2857965451357	1.1952	-0.47556	-0.435736752295798	-0.657369736599232	0.15324	-0.270009295144486	-0.158549776101602	-0.29405	0.0	0.913920899244603	0.65265	0.0	-0.35155	-0.39118	0.26463	-0.0700972821860941	0.281910653462182	-0.418044606993714	0.0	-0.027298	-0.2881654316333271	-0.057118	0.27056	0.37161	0.8697999999999999	0.126666306153809	-1.34458823988322	-1.509648081609503	0.081601	-0.81533
TCGA-86-A456-01A	0.0	0.054187	0.232734	0.083878	-0.39004465226268	-1.98888	0.25513	1.532606487846	-0.095189	0.032193064897868	-0.0973359347600369	-1.04284966694637	0.0	0.23212	-0.047549	-0.396069237880013	0.2953533	-0.627576457117416	0.49253	0.37334	0.4572133427292766	0.64753	-0.2723399999999999	1.26889	0.485	0.133740995177617	0.0074598340588164	-0.2151	0.0	0.151989935901095	0.0	-0.285814631846469	0.137086542767738	0.348333631115734	0.247588	0.3225	0.6530130000000001	-0.022157701636174	-0.434813191840415	-0.82747	0.30005413246549	0.170062647463981	0.564601845320738	-0.27581	0.0	0.12211282959551	1.352693722179868	0.69284	0.57393	-0.0991479265784159	-0.526186659886527	-0.30662	-0.10491	-0.762748417868709	0.036234	0.399198971155266	0.69585	-0.056231	-0.218149591515952	-0.759400909480318	0.0064	-0.784319016927073	0.18438534907287	-0.4325	0.0	0.506163723426972	0.21566	0.0	-0.098678	-0.48592	0.71991	0.0808580598741554	0.469443612345751	-0.0814351984971869	0.0	0.029345	0.547161316087199	0.30272	-0.086007	-0.33187	0.19503	0.430433459902687	-0.171083902813418	-0.353314583538219	0.3579	0.31592
TCGA-86-A4D0-01A	0.0	0.034012	0.6195299999999999	0.40952	-0.0247924974667287	-1.57939	0.048607	0.1595523434193	-0.39416	0.4770183154843519	-0.6559414032702839	0.644145726244779	0.0	-0.1828	-0.046926	-0.193186048605846	0.0473399999999999	0.124704230245867	0.39135	0.53038	0.242627775511307	0.46527	0.196997	0.9594	0.020162	1.41906560220679	-0.172680940644593	-1.1754	0.0	-0.220789657894902	0.0	-0.241301152878322	-0.136116123681232	-0.183130379500257	-0.173432	0.41611	-0.085982	0.478494782685579	-0.891465002054876	-0.36272	0.0702450901010617	0.29218356649091	0.386695152774002	0.045305	0.0	-0.0386605894895801	0.2743965694306938	0.10266	0.0605774	0.0710731640124264	0.0959321532874633	-0.19196	-0.44318	1.0569182882063	0.046875	-0.238853894366697	0.98315	0.23735	0.527402983510251	-0.240342448853171	-0.145929	0.426285057109357	0.101055205941668	-0.42922	0.0	1.30739491994258	-1.0003	0.0	-0.46528	-0.27473	0.43616	-0.104927192036838	-0.110318888664452	0.784769924735762	0.0	0.25294	-0.493362746945917	0.21379	-0.25793	-0.7154	1.24094	-0.173643053524925	-0.100325953535242	-0.063242150123465	0.12381	-0.46089
TCGA-86-A4JF-01A	0.0	-0.45849	-1.74591	-0.008716	-0.3435963067378506	-0.98304	0.38494	-0.717816949281325	-0.20645	0.756704393475003	-0.0754553224579747	-0.482664656184611	0.0	-0.47495	0.086927	-0.483188962265373	0.56191	-0.646914167008949	0.33464	0.24172	-1.060245444746616	0.54144	0.1714599999999999	1.851083	0.28164	0.447386137784356	-0.148871991948617	-0.64051	0.0	0.172637373601431	0.0	-0.197887082590629	-0.325552337492816	0.319458655992158	0.94989	0.36254	0.98617	-0.274029545003006	-3.063411355636621	-0.41184	0.0170799524715625	-0.0441435482878152	-0.196281470230158	-0.21265	0.0	0.278998444220828	1.2581707655089969	-0.34951	-0.17015	-0.179324091040849	-0.365367747738077	-0.3945	-0.3267	-0.984698564982319	-0.32166	0.151060588633575	0.1249	-0.27885	0.0044676689369216	-0.769111772477937	-0.168515	-0.5838404878934	-0.211911888378205	-0.34082	0.0	0.654976169551624	0.3857	0.0	-0.41032	-0.49028	0.72914	0.127746061507943	0.615714278448116	0.0442882041441505	0.0	-0.0052052	-0.717180633978555	0.55634	0.23098	-0.59817	1.90755	0.130214456162388	0.433042320189387	-0.394046433025396	0.78557	-1.03626
TCGA-86-A4P7-01A	0.0	-0.075986	-0.0353999999999999	0.8966	0.1749278896102305	-1.38253	0.44572	0.661901730800681	-0.084446	-0.30190613872784	0.308151549829316	-1.32479079590234	0.0	0.079102	-0.233	-1.10066442295641	0.56862	0.263116350511579	0.18652	0.82701	0.2082912634237574	0.047174	0.061303	2.13606	0.245725	0.220732904431525	-0.219304747956951	0.21502	0.0	0.115847165018195	0.0	-0.300173512881854	0.131285628568613	0.316950288979525	0.2845624	0.66975	1.26361	-0.532863920083512	-0.9188898125200552	-0.086126	-0.274678711263621	0.329974479134972	0.175898541994916	-0.099945	0.0	0.133821908277818	2.3324795817491792	0.34198	0.79023	-0.234948967937572	-0.252007327419769	-0.64826	0.05144	-0.847139619933295	0.15157	0.694797652621582	0.58695	-0.34892	0.573361208464141	-0.292222259848864	-0.09527	-0.922177151442879	0.127000916141129	-0.38753	0.0	1.01138540224976	0.4697	0.0	-0.13768	-0.18275	1.0426	-0.209911944062941	0.44588126391876	0.355167249364976	0.0	-0.30671	0.8757253573367365	0.74831	-0.16144	-0.69285	2.32492	0.379308746057675	0.222890913245271	-0.193213784253307	0.1598	0.0092899999999999
TCGA-86-A4P8-01A	0.0	0.29107	1.7012	0.28922	0.6371114128979201	-1.47339	0.052316	0.560100782278119	-0.43376	-0.109986539937385	0.486686308271529	-0.971599993193424	0.0	0.25415	-0.0065728	-0.277279177552246	2.1749	-0.446155170779427	0.47782	0.73216	0.207984127720214	-0.30036	0.2149	4.20551	0.42651	0.514838667563485	-0.105396627258906	-0.79767	0.0	-0.59212302955287	0.0	0.0595470482998673	0.0059743368033305	0.927185183438644	0.0195	0.43051	1.1175199999999998	-0.60427295093321	-0.76489314157628	-0.63594	-0.0721083780090987	0.26248979452868	0.664373048262722	-0.20023	0.0	0.118977411444125	2.908924584767249	0.24249	1.30877	0.0172112013172192	-0.522301764564098	-0.37672	-0.47628	-0.725558260289421	0.20622	0.262032253839755	1.2021	-0.37403	-0.692146721841202	-0.574092439837305	-0.1479599999999999	-0.427726613983769	0.283750462227307	-0.34513	0.0	0.550086346073076	0.6181	0.0	-0.3425	-0.46844	-0.28309	0.753643894805656	1.02228680326888	0.0745324766938104	0.0	-0.07255	1.16316237084798	0.50339	0.019286	-0.78513	1.29253205	0.947386835354532	-0.0973970160080519	0.289696094526305	0.17189	0.172673
TCGA-91-6828-01A	5.427	0.069512	0.8806499999999999	0.56479	-0.283643636056211	-1.67321	0.040372	1.35293612679693	0.032009	0.099237966180312	-0.0701334682743578	-0.343327425593952	-0.17306	0.56362	-0.15184	-0.315713106582019	1.097013	0.556937689065499	0.39505	0.39398	1.172229958816924	0.46864	-0.20319	1.043025	0.73252	1.0969711089943	-0.118594940755346	-1.024	-0.13314	-0.245352161793935	-0.26118	-0.295241537788231	0.0423822241562475	-0.073571579673194	0.199029	-0.064699	-0.27273	0.27984971547755	0.955650801391864	-0.67341	-0.254933109114234	0.273838922593732	0.84848983049467	-0.072925	-0.073015	0.202829538213047	0.352034986890705	0.80945	0.24086	-0.0606269378788225	0.294800319260442	-0.16894	0.11439	-0.459153666336581	0.28405	0.101190131861479	0.15889	-0.020852	0.395978047431942	-0.583688530816399	0.334389	-0.643835461124624	0.249048645390964	-0.41195	-0.21188	0.828297916094487	0.16309	-0.080638	-0.24018	-0.56963	0.26245	1.1446915581289	0.150964579844656	0.2176332901079	-2.945e-05	0.058591	0.4833952791022041	-0.037577	-0.30137	-0.83628	1.39505	0.102796653567545	-0.589337920596815	0.783902145769328	-0.12477	0.4107499999999999
TCGA-91-6829-01A	4.8656	-0.32705	0.64216	0.42508	-0.2226892282021109	-1.5231	0.92984	0.264127611786833	1.3489	-0.352252535137345	-0.0183830065675582	-0.156169971937006	-0.44879	0.35966	-0.16231	0.509022939134409	0.509367	-0.249419980312854	-0.034942	0.39703	0.647718214782017	-0.27633	0.351446	1.000701	0.241808	0.466323798947501	0.0467552258987615	0.37208	-0.80886	0.281035910914695	-1.0567	-0.04556377632069	-0.415677276273796	-0.1220736097769772	-0.0326599999999999	0.22063	1.00909	0.180273562697982	0.097002296504888	-0.40451	-0.0212246190246401	0.0013757316486548	0.0324562692901533	0.29519	-0.0045795	-0.0182079504686571	0.351764201861484	-0.32074	0.86316	-0.0276536967626236	-0.2549845340739	0.041552	0.29182	-0.272059108439715	0.056458	0.203334133077002	0.95277	-0.52283	0.171975849816029	-0.310575052159451	0.175106	-0.512446863841939	0.179540029905078	-0.42053	-0.15257	0.378544156379074	0.36696	-0.09553	0.07651	-0.37863	0.13424	0.950398442760157	0.37164748392517	0.253543108337557	0.47698	-0.031653	0.0073584601798155	0.17302	-0.33399	-0.24369	2.16717	0.0510799855025844	-0.324804762688755	-0.627132334140765	-0.15366	0.0489929999999999
